Date,Open,High,Low,Close,Adj Close,Volume,Dividends,StockSplits
2024-09-05,3754.2900390625,3789.909912109375,3732.2900390625,3781.8798828125,3752.707275390625,212300,0.0,0.0
2024-09-06,3777.139892578125,3794.340087890625,3700.969970703125,3731.35009765625,3711.153564453125,283100,8.75,0.0
2024-09-09,3749.52001953125,3809.02001953125,3718.580078125,3802.889892578125,3782.30615234375,241000,0.0,0.0
2024-09-10,3818.360107421875,3837.429931640625,3777.840087890625,3834.820068359375,3814.063720703125,174900,0.0,0.0
2024-09-11,3836.0,3836.0,3719.340087890625,3827.469970703125,3806.75341796875,245400,0.0,0.0
2024-09-12,3834.3701171875,3895.489990234375,3813.8798828125,3870.699951171875,3849.74951171875,186200,0.0,0.0
2024-09-13,3896.0,3938.64990234375,3894.510009765625,3932.590087890625,3911.304443359375,159700,0.0,0.0
2024-09-16,3950.0,3999.510009765625,3930.0,3979.0,3957.46337890625,180500,0.0,0.0
2024-09-17,4000.0,4047.489990234375,3985.0,4042.429931640625,4020.550048828125,173900,0.0,0.0
2024-09-18,4050.0,4073.840087890625,4018.510009765625,4028.300048828125,4006.49658203125,136000,0.0,0.0
2024-09-19,4103.759765625,4104.990234375,3997.840087890625,4017.510009765625,3995.764892578125,298600,0.0,0.0
2024-09-20,4009.669921875,4067.4599609375,3985.570068359375,4064.010009765625,4042.01318359375,443900,0.0,0.0
2024-09-23,4064.010009765625,4104.8701171875,4030.68994140625,4097.080078125,4074.904052734375,253700,0.0,0.0
2024-09-24,4128.0,4182.7900390625,4084.89990234375,4177.56005859375,4154.94873046875,216000,0.0,0.0
2024-09-25,4177.56005859375,4181.10986328125,4148.830078125,4175.7001953125,4153.0986328125,196700,0.0,0.0
2024-09-26,4210.2900390625,4272.8798828125,4196.89013671875,4268.93994140625,4245.833984375,213900,0.0,0.0
2024-09-27,4269.009765625,4270.990234375,4231.06005859375,4248.10009765625,4225.1064453125,162600,0.0,0.0
2024-09-30,4220.14990234375,4228.3701171875,4183.1298828125,4212.1201171875,4189.32177734375,217800,0.0,0.0
2024-10-01,4228.0,4228.0,4085.199951171875,4100.990234375,4078.793212890625,238500,0.0,0.0
