Date,Open,High,Low,Close,Volume,Dividends,StockSplits,Capital Gains
2024-07-19,269.0885920855357,269.84877428933015,267.05483127064406,267.6076965332031,2414200,0.0,0.0,0.0
2024-07-22,269.30579397665707,270.65834044058175,268.43699709004625,270.40167236328125,2527300,0.0,0.0,0.0
2024-07-23,270.381893342836,271.635737471671,270.0758440190013,270.2041931152344,2229500,0.0,0.0,0.0
2024-07-24,267.8841532955093,268.1507036725371,263.67839990678306,264.1226806640625,3050700,0.0,0.0,0.0
2024-07-25,264.29053306276955,267.61760727019094,262.56282140132157,263.1058044433594,3237800,0.0,0.0,0.0
2024-07-26,265.21854260686536,267.5385882667783,264.833495290704,266.2551574707031,2757900,0.0,0.0,0.0
2024-07-29,267.2819306692748,267.627448884842,265.3468719918228,266.27490234375,2814400,0.0,0.0,0.0
2024-07-30,267.0548362561877,267.696551648399,263.4710641320152,265.1691589355469,2174100,0.0,0.0,0.0
2024-07-31,268.47649925845974,270.7965750334235,267.64720134655954,269.0984802246094,2541500,0.0,0.0,0.0
2024-08-01,269.76981046456103,271.0137723882798,263.21436492680846,264.8828430175781,3767300,0.0,0.0,0.0
2024-08-02,261.1312637794878,261.3978141475283,257.36979127486643,259.5516357421875,4744200,0.0,0.0,0.0
2024-08-05,248.01052382047706,255.039821567696,247.80319181251554,251.92994689941406,8463400,0.0,0.0,0.0
2024-08-06,253.3022705574999,258.0312422829966,252.27550780929207,254.48696899414062,5255200,0.0,0.0,0.0
2024-08-07,257.7449526252897,259.0086490112196,252.30511975991502,252.5420684814453,3398500,0.0,0.0,0.0
2024-08-08,255.38537416533777,258.830945066909,254.2204101961511,258.4557800292969,2922800,0.0,0.0,0.0
2024-08-09,258.40641695273297,260.2822422728186,257.4783865719222,259.5714111328125,2667400,0.0,0.0,0.0
2024-08-12,260.27233080132083,260.62773126701194,258.42615252599956,259.4035339355469,2548500,0.0,0.0,0.0
2024-08-13,261.04238889807044,263.80671510448747,260.93377422805264,263.7178649902344,2316200,0.0,0.0,0.0
2024-08-14,264.2411191897052,265.0506826421113,262.74048923533263,264.46820068359375,2335300,0.0,0.0,0.0
2024-08-15,267.48923933532865,269.2959187174736,267.13380872295204,269.0491027832031,3031600,0.0,0.0,0.0
2024-08-16,268.4369822892411,270.0561091484506,268.26916433974725,269.6908264160156,2571900,0.0,0.0,0.0
2024-08-19,270.1351297710256,272.27750558188274,269.54276543534473,272.2380065917969,2660000,0.0,0.0,0.0
2024-08-20,272.168871862625,272.79085286515885,270.9347921366131,271.5765075683594,2041900,0.0,0.0,0.0
2024-08-21,272.25771991229357,273.3733327967291,271.4481865161637,272.9389343261719,1983700,0.0,0.0,0.0
2024-08-22,273.6398955349213,274.0545294206017,270.1252090115935,270.62872314453125,2554300,0.0,0.0,0.0
2024-08-23,272.22812130190954,274.2914991097793,271.8233395124851,274.0545654296875,2281800,0.0,0.0,0.0
2024-08-26,274.58769237438173,274.98259187846713,272.7415138428845,273.3634948730469,2263800,0.0,0.0,0.0
2024-08-27,272.58352778978684,273.84722418643435,272.09974806394536,273.61029052734375,1787900,0.0,0.0,0.0
2024-08-28,273.27458489373623,273.5510175294209,270.431290696221,271.9418029785156,1856400,0.0,0.0,0.0
2024-08-29,272.95870414684816,274.76538363007654,271.73447655672027,272.2083740234375,3018000,0.0,0.0,0.0
2024-08-30,273.1956113045688,274.9825561849477,271.5764843804149,274.83447265625,2029300,0.0,0.0,0.0
2024-09-03,273.2745828138608,273.4720476073745,267.70643115776255,268.9207763671875,3818900,0.0,0.0,0.0
2024-09-04,267.5583602345258,270.0561363327941,267.52874352699297,268.31854248046875,2946700,0.0,0.0,0.0
2024-09-05,268.33829022316746,269.5427532707634,266.3933793216126,267.4892578125,3997800,0.0,0.0,0.0
2024-09-06,267.7261906046113,268.57525314138854,262.62205362028027,263.04656982421875,3599900,0.0,0.0,0.0
2024-09-09,264.9717286727902,266.6105599617747,264.17201732772435,265.8602600097656,2969800,0.0,0.0,0.0
2024-09-10,266.6895336562581,267.04493410713707,264.2608735218988,266.8968505859375,1874700,0.0,0.0,0.0
2024-09-11,266.7784036614057,269.87839607561875,262.5331817163625,269.5526123046875,2640200,0.0,0.0,0.0
2024-09-12,269.9475227606506,272.04051711196166,268.6838263525628,271.793701171875,2420700,0.0,0.0,0.0
2024-09-13,272.4848069863919,274.1631674867811,272.24787331721694,273.68927001953125,2474700,0.0,0.0,0.0
2024-09-16,273.59052336300954,274.3408534481786,272.73160872809143,274.23223876953125,2065700,0.0,0.0,0.0
2024-09-17,275.4268757750819,276.2166747922107,273.4424658237516,274.5086975097656,2133600,0.0,0.0,0.0
2024-09-18,274.8245945749666,277.48033636945826,273.560898229286,273.8175964355469,3389900,0.0,0.0,0.0
2024-09-19,278.50714494292737,279.3956764039439,277.02624913159906,278.457763671875,2660200,0.0,0.0,0.0
2024-09-20,278.0924433688282,278.4281094253425,276.51281535725036,277.875244140625,2293600,0.0,0.0,0.0
2024-09-23,278.60584420120466,278.96124469175663,277.8752485335721,278.56634521484375,1920800,0.0,0.0,0.0
2024-09-24,279.1586884060526,279.28703750535556,277.5593260615926,279.26727294921875,1952100,0.0,0.0,0.0
2024-09-25,279.34626704013357,279.5437016964864,277.9147226693193,278.34912109375,1744200,0.0,0.0,0.0
2024-09-26,280.64945845703056,280.7284564300838,278.4972306892626,279.5931091308594,2616800,0.0,0.0,0.0
2024-09-27,280.435857631512,280.69334779148636,278.73252395706214,279.3168029785156,2644100,0.871,0.0,0.0
2024-09-30,278.89093067440524,280.64379766872776,277.65304391427674,280.416015625,2828300,0.0,0.0,0.0
2024-10-01,280.2575852086867,280.30708859436635,276.4548003999679,277.86102294921875,4874900,0.0,0.0,0.0
2024-10-02,277.5242927418384,278.44530343968603,276.16757371812145,277.9204406738281,3637500,0.0,0.0,0.0
2024-10-03,277.11827668606446,278.2274486427672,276.19729616213976,277.3262634277344,2369200,0.0,0.0,0.0
2024-10-04,279.72281154990196,280.14866760143866,277.63327302153294,280.010009765625,2335400,0.0,0.0,0.0
2024-10-07,279.3068602391928,279.3959844549342,276.8310868402328,277.4549865722656,11465600,0.0,0.0,0.0
2024-10-08,278.5542275047832,280.1387285930296,278.1581097881828,279.7921142578125,2164600,0.0,0.0,0.0
2024-10-09,279.8119264521844,281.9807065921215,279.52475846787956,281.7430419921875,2123800,0.0,0.0,0.0
2024-10-10,281.0300378842818,281.8519814985273,280.28730573501167,281.1587829589844,2547200,0.0,0.0,0.0
2024-10-11,281.21815598487336,283.6147179832556,281.19836067712754,283.33740234375,1799500,0.0,0.0,0.0
2024-10-14,284.08013810257506,285.9320420547018,283.8325607542091,285.5458068847656,1997000,0.0,0.0,0.0
2024-10-15,285.52605040754815,285.89246009746546,283.13940081810074,283.58502197265625,3260800,0.0,0.0,0.0
