Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-08-01,407.8735896827988,408.67129725278176,407.182850752313,407.9903259277344,3118000,0.0,0.0,0.0
2023-08-02,405.14963174103474,405.3831339291423,401.6668716412624,402.338134765625,4973700,0.0,0.0,0.0
2023-08-03,400.499442961841,402.9412850014013,399.92546995154504,401.19989013671875,3022300,0.0,0.0,0.0
2023-08-04,402.90231256304656,404.828549474911,398.8942102210767,399.2347106933594,5717300,0.0,0.0,0.0
2023-08-07,401.0928330771095,402.989856201758,400.46049203556004,402.8341979980469,2598000,0.0,0.0,0.0
2023-08-08,400.5772906166,401.5306564406695,398.0187123057409,401.0928955078125,3780100,0.0,0.0,0.0
2023-08-09,401.4528602599107,401.52096630434767,397.74633575085477,398.42730712890625,3145900,0.0,0.0,0.0
2023-08-10,400.6161580244155,403.7778932166805,397.5225288692885,398.6607666015625,4588300,0.0,0.0,0.0
2023-08-11,396.8707058509369,399.26388765250687,396.2772570917216,398.2910461425781,2918900,0.0,0.0,0.0
2023-08-14,397.46414717200093,400.55777622145615,397.2209367809035,400.538330078125,2772900,0.0,0.0,0.0
2023-08-15,398.95267169822364,400.5286705909338,395.3726211655519,395.94659423828125,4686100,0.0,0.0,0.0
2023-08-16,395.54764348737314,397.0263519600355,392.901513275557,393.01824951171875,3353700,0.0,0.0,0.0
2023-08-17,394.32188280872884,394.5650932149853,389.49659666145556,389.83709716796875,7102500,0.0,0.0,0.0
2023-08-18,387.35634072760934,391.10175701855775,387.04502430011576,390.197021484375,4157700,0.0,0.0,0.0
2023-08-21,391.2185017385067,393.40739515086995,389.12686872679035,392.7750244140625,3292400,0.0,0.0,0.0
2023-08-22,394.3413262367305,394.38995643847744,391.14066924055584,391.67572021484375,2646100,0.0,0.0,0.0
2023-08-23,392.5999410157114,396.5983353004769,392.5123888371971,395.89788818359375,3250000,0.0,0.0,0.0
2023-08-24,397.503054967053,397.9699999004907,390.49858407781386,390.6347961425781,3458800,0.0,0.0,0.0
2023-08-25,392.13298766039344,394.7791180579467,388.8545161467333,393.22259521484375,4417800,0.0,0.0,0.0
2023-08-28,395.3238819545183,396.374567464719,394.0981217776419,395.810302734375,3236700,0.0,0.0,0.0
2023-08-29,395.7325127984394,401.76414271493553,395.52822437119704,401.4333801269531,3482700,0.0,0.0,0.0
2023-08-30,401.8127621617175,403.7584453486495,401.1998672076308,403.10662841796875,3004500,0.0,0.0,0.0
